iter	RMSE
0	1.30227653
1	1.275549287
2	1.252333043
3	1.235098673
4	1.219496103
5	1.206317444
6	1.193254004
7	1.178069173
8	1.168191386
9	1.158222321
10	1.158221407
11	1.14949668
12	1.140947225
13	1.135674843
14	1.126043338
15	1.12193927
16	1.113368911
17	1.105198434
18	1.101578251
19	1.095237444
20	1.091399812
21	1.086061662
22	1.082318307
23	1.079583788
24	1.076947778
25	1.074270902
26	1.072295587
27	1.068847702
28	1.067005469
29	1.06015981
30	1.056663636
31	1.053988181
32	1.050255643
33	1.046786945
34	1.044241347
35	1.040582619
36	1.036701491
37	1.034930437
38	1.030476593
39	1.028863275
40	1.027586748
41	1.024029957
42	1.022162929
43	1.019461936
44	1.018834184
45	1.016708697
46	1.01520286
47	1.013246481
48	1.011917993
49	1.009656319
50	1.00801699
51	1.005417446
52	1.004649778
53	1.003286831
54	1.001619586
55	0.9995616626
56	0.9978357508
57	0.9961931947
58	0.9959011144
59	0.9944334139
60	0.9932952355
61	0.9921679522
62	0.9899692849
63	0.9871188117
64	0.9851087675
65	0.9842118642
66	0.9839578208
67	0.9812974123
68	0.9795725885
69	0.9786546253
70	0.9777850387
71	0.9751965662
72	0.9740084207
73	0.9722654116
74	0.9700396966
75	0.9673864315
76	0.9659110929
77	0.96545345
78	0.9637599979
79	0.9634939701
80	0.9630384657
81	0.9610052887
82	0.9593678256
83	0.9584528887
84	0.9559640317
85	0.9540224275
86	0.951816076
87	0.9497966116
88	0.9473600792
89	0.9456881367
90	0.9447046584
91	0.9431381226
92	0.942406977
93	0.942016982
94	0.9414032919
95	0.9398526048
96	0.9379706664
97	0.9368759707
98	0.9361232338
99	0.933741018
100	0.9320365527
101	0.9298991072
102	0.9286795071
103	0.92636156
104	0.9259190486
105	0.9249512443
106	0.9235655369
107	0.9224436458
108	0.9212718044
109	0.9204773202
110	0.9192245199
111	0.9180509239
112	0.9176511978
113	0.9170733991
114	0.9156685364
115	0.9141520714
116	0.9127229774
117	0.9116157283
118	0.9093312179
119	0.9092152881
120	0.9078536972
121	0.9073498487
122	0.9069920884
123	0.9061818293
124	0.904864849
125	0.9039308649
126	0.9023676005
127	0.9014599004
128	0.9013119006
129	0.9004612878
130	0.8994700718
131	0.8988916152
132	0.8968976848
133	0.8958319371
134	0.8954986767
135	0.8945413189
136	0.8930732627
137	0.8915203438
138	0.8902537242
139	0.8900236513
140	0.8890317232
141	0.8871746937
142	0.8857504784
143	0.8846412831
144	0.8839007908
145	0.8833322266
146	0.8828884504
147	0.8820840834
148	0.8800495724
149	0.878915482
150	0.8779423803
151	0.8776517174
152	0.8774189898
153	0.8768085069
154	0.8756904904
155	0.8752020169
156	0.8751487528
157	0.8743831128
158	0.874230331
159	0.8729455532
160	0.871491022
161	0.8706422679
162	0.8695330859
163	0.8690952825
164	0.8683615923
165	0.8676571618
166	0.8674013873
167	0.8654100406
168	0.8641123965
169	0.863690387
170	0.8634996942
171	0.8629103394
172	0.8617304816
173	0.8605305297
174	0.8599811984
175	0.8591507364
176	0.8579865984
177	0.857360308
178	0.8568775548
179	0.8565057244
180	0.8556806043
181	0.8551022255
182	0.854339383
183	0.8534724153
184	0.8527639321
185	0.8513209552
186	0.8508039125
187	0.8488156516
188	0.8484655284
189	0.8480608282
190	0.8474759837
191	0.8465881891
192	0.8460128722
193	0.8450006147
194	0.8440962132
195	0.843324607
196	0.8425013386
197	0.8418316956
198	0.8410376193
199	0.8406234894
200	0.8401590146
201	0.8392498643
202	0.8387832448
203	0.8375342358
204	0.8369083811
205	0.8364827979
206	0.8359272577
207	0.8355927849
208	0.8351246004
209	0.8336963077
210	0.8332731168
211	0.8319368284
212	0.8308987724
213	0.8303164915
214	0.8298604397
215	0.8294690876
216	0.8289473495
217	0.8276043026
218	0.826838048
219	0.8265251558
220	0.8263106423
221	0.8248676653
222	0.8244144651
223	0.8239791852
224	0.8231268267
225	0.8223930853
226	0.8221283744
227	0.8207636303
228	0.820497181
229	0.8197201159
230	0.8192779889
231	0.8185148798
232	0.817998463
233	0.8175251031
234	0.8166766684
235	0.8164483735
236	0.8159631627
237	0.8153645237
238	0.8150455384
239	0.8148026414
240	0.8140772175
241	0.8137514428
242	0.8133057496
243	0.8133057373
244	0.8129186993
245	0.8124655241
246	0.8113350634
247	0.8107540428
248	0.8103541878
249	0.8100079485
250	0.8092755677
251	0.8088683105
252	0.8083733443
253	0.8071729935
254	0.8069106434
255	0.8066551463
256	0.8057698179
257	0.8054400729
258	0.8050832385
259	0.8044745543
260	0.8043577092
261	0.8041202638
262	0.8029273697
263	0.8020202238
264	0.80182939
265	0.8016542574
266	0.8012825711
267	0.8010235415
268	0.8004144197
269	0.8003859865
270	0.799035266
271	0.7984738513
272	0.798124394
273	0.797066266
274	0.7964806467
275	0.7958775836
276	0.7953693724
277	0.7950365382
278	0.7946079743
279	0.7943252349
280	0.7938709797
281	0.7935095662
282	0.7925343978
283	0.7919025609
284	0.7915852087
285	0.7912604335
286	0.7910180745
287	0.7906638295
288	0.7903195043
289	0.7896155103
290	0.7893410944
291	0.789134721
292	0.7888942386
293	0.7882263946
294	0.7881064038
295	0.7878565327
296	0.7873079905
297	0.7865416606
298	0.7860933365
299	0.7858075561
300	0.7852898936
301	0.7849445894
302	0.7839485739
303	0.7834604767
304	0.7827515464
305	0.7826079204
306	0.782163693
307	0.7816834086
308	0.7809404621
309	0.7803782428
310	0.7795599766
311	0.7793567731
