iter	Passed	Remaining
0	8	8719
1	15	7752
2	21	7055
3	27	6839
4	34	6907
5	41	6868
6	47	6748
7	54	6808
8	60	6716
9	69	6909
10	70	6382
11	77	6352
12	83	6349
13	89	6297
14	97	6372
15	101	6234
16	108	6301
17	117	6401
18	123	6369
19	132	6477
20	139	6493
21	147	6550
22	152	6489
23	157	6406
24	162	6323
25	170	6381
26	176	6376
27	183	6376
28	189	6328
29	198	6417
30	207	6476
31	215	6505
32	225	6595
33	235	6683
34	243	6706
35	251	6738
36	261	6808
37	269	6832
38	279	6881
39	288	6935
40	294	6888
41	303	6926
42	312	6962
43	320	6963
44	323	6874
45	332	6890
46	341	6925
47	349	6937
48	359	6984
49	365	6947
50	373	6948
51	381	6956
52	386	6904
53	393	6899
54	402	6915
55	411	6939
56	420	6953
57	430	6988
58	436	6961
59	444	6963
60	451	6951
61	458	6939
62	466	6941
63	476	6961
64	484	6966
65	492	6966
66	499	6954
67	508	6965
68	516	6969
69	522	6936
70	529	6931
71	538	6942
72	546	6935
73	554	6936
74	564	6958
75	571	6951
76	579	6949
77	589	6963
78	598	6977
79	603	6945
80	609	6918
81	618	6920
82	626	6920
83	636	6937
84	645	6944
85	654	6953
86	663	6959
87	673	6981
88	679	6951
89	686	6944
90	692	6918
91	700	6917
92	707	6896
93	713	6872
94	720	6865
95	728	6858
96	737	6864
97	746	6872
98	754	6867
99	763	6873
100	772	6875
101	782	6888
102	791	6893
103	798	6881
104	805	6866
105	811	6842
106	819	6839
107	830	6859
108	840	6868
109	849	6875
110	857	6869
111	864	6857
112	871	6840
113	878	6825
114	886	6825
115	895	6821
116	905	6833
117	911	6815
118	922	6830
119	928	6810
120	936	6804
121	945	6804
122	952	6788
123	959	6777
124	966	6762
125	973	6751
126	981	6745
127	989	6740
128	995	6721
129	1004	6720
130	1009	6699
131	1016	6686
132	1025	6686
133	1033	6678
134	1041	6676
135	1050	6671
136	1059	6676
137	1069	6677
138	1076	6670
139	1085	6668
140	1094	6666
141	1101	6653
142	1112	6669
143	1120	6659
144	1128	6656
145	1135	6642
146	1142	6631
147	1152	6633
148	1160	6628
149	1167	6614
150	1175	6608
151	1184	6605
152	1189	6585
153	1197	6578
154	1205	6571
155	1213	6563
156	1219	6548
157	1228	6549
158	1236	6539
159	1243	6525
160	1258	6557
161	1279	6618
162	1292	6636
163	1300	6629
164	1309	6626
165	1316	6616
166	1325	6610
167	1333	6606
168	1344	6611
169	1351	6600
170	1357	6583
171	1367	6583
172	1377	6582
173	1384	6571
174	1391	6562
175	1398	6549
176	1406	6540
177	1414	6530
178	1421	6521
179	1428	6508
180	1436	6498
181	1444	6491
182	1454	6492
183	1462	6487
184	1470	6479
185	1480	6478
186	1489	6476
187	1499	6476
188	1509	6476
189	1516	6463
190	1524	6458
191	1536	6467
192	1545	6462
193	1554	6457
194	1559	6436
195	1567	6428
196	1574	6415
197	1581	6405
198	1589	6396
199	1596	6387
200	1604	6376
201	1610	6363
202	1618	6354
203	1627	6349
204	1636	6345
205	1644	6339
206	1654	6339
207	1664	6338
208	1673	6335
209	1682	6330
210	1691	6323
211	1698	6315
212	1705	6300
213	1714	6297
214	1721	6287
215	1730	6281
216	1739	6274
217	1747	6267
218	1753	6254
219	1762	6248
220	1769	6236
221	1777	6228
222	1785	6220
223	1792	6208
224	1799	6197
225	1809	6196
226	1815	6182
