,index,day,dow,店舗ID,商品ID,商品価格,売上個数
0,0,0,Mon,9,1000001,420,1
1,1,0,Mon,6,1000001,420,1
2,2,0,Mon,10,1000001,420,1
3,364,0,Mon,0,1200007,250,1
4,365,0,Mon,15,1200007,130,1
5,366,0,Mon,0,1200008,250,1
6,367,0,Mon,15,1200008,130,1
7,368,0,Mon,15,1200009,130,1
8,369,0,Mon,9,1200017,340,1
9,370,0,Mon,1,1200018,340,1
10,371,0,Mon,1,1200019,510,1
11,372,0,Mon,13,1200019,370,1
12,373,0,Mon,1,1200022,510,1
13,374,0,Mon,0,1200027,340,1
14,375,0,Mon,10,1200027,340,1
15,376,0,Mon,14,1200032,680,1
16,610,0,Mon,10,1600002,510,1
17,618,0,Mon,0,1700002,290,1
18,619,0,Mon,0,1700011,1440,1
19,758,0,Mon,10,2400001,2850,1
20,759,0,Mon,0,2400004,1190,1
21,760,0,Mon,9,2400007,1020,1
22,761,0,Mon,14,2400007,1020,1
23,762,0,Mon,0,2400007,1020,1
24,763,0,Mon,7,2400011,3400,1
25,786,0,Mon,10,2600005,1000,1
26,817,0,Mon,15,2800001,1190,1
27,840,0,Mon,15,3200001,2830,1
28,850,0,Mon,14,3400001,1190,1
29,851,0,Mon,7,3400002,2020,1
30,852,0,Mon,7,3400003,830,1
31,853,0,Mon,0,3400003,830,1
32,864,1,Tue,10,1000001,420,2
33,865,1,Tue,9,1000001,420,1
34,866,1,Tue,15,1000001,420,1
35,867,1,Tue,6,1000001,420,1
36,868,1,Tue,16,1000001,420,1
37,869,1,Tue,2,1000001,420,1
38,870,1,Tue,5,1000001,340,1
39,871,1,Tue,8,1000002,250,1
40,872,1,Tue,6,1000002,250,1
41,873,1,Tue,7,1000004,250,1
42,874,1,Tue,11,1000004,250,1
43,875,1,Tue,6,1000004,250,1
44,876,1,Tue,9,1000004,250,1
45,877,1,Tue,15,1000005,250,1
46,878,1,Tue,2,1000005,250,1
47,879,1,Tue,8,1000008,250,1
48,880,1,Tue,2,1000008,250,1
49,1789,1,Tue,7,1100001,590,1
50,1790,1,Tue,14,1100001,590,1
51,2435,1,Tue,10,1200001,510,1
52,2436,1,Tue,0,1200002,510,1
53,2437,1,Tue,16,1200002,510,1
54,2438,1,Tue,10,1200002,510,1
55,2439,1,Tue,2,1200003,510,1
56,2440,1,Tue,10,1200004,510,1
57,2441,1,Tue,8,1200004,510,1
58,2442,1,Tue,6,1200006,340,1
59,2443,1,Tue,10,1200008,250,1
60,2444,1,Tue,10,1200012,510,1
61,2445,1,Tue,2,1200013,510,1
62,2446,1,Tue,13,1200014,510,1
63,2447,1,Tue,10,1200016,250,1
64,2448,1,Tue,1,1200023,510,1
65,2449,1,Tue,10,1200023,510,1
66,2450,1,Tue,16,1200025,510,1
67,2451,1,Tue,16,1200029,340,2
68,2452,1,Tue,2,1200030,510,1
69,2453,1,Tue,0,1200032,680,1
70,2454,1,Tue,15,1200033,290,1
71,2810,1,Tue,13,1300001,4250,1
72,2811,1,Tue,0,1300001,4250,1
73,2812,1,Tue,5,1300001,4250,1
74,3106,1,Tue,2,1400001,640,1
75,3107,1,Tue,7,1400002,590,1
76,3108,1,Tue,11,1400002,850,1
77,3109,1,Tue,11,1400002,850,1
78,3110,1,Tue,5,1400002,590,1
