DoW,Holiday,shopID,Cat,itemID,price,n
0,1,9,100,1000001,420,1
0,1,6,100,1000001,420,1
0,1,10,100,1000001,420,1
0,1,0,120,1200007,250,1
0,1,15,120,1200007,130,1
0,1,0,120,1200008,250,1
0,1,15,120,1200008,130,1
0,1,15,120,1200009,130,1
0,1,9,120,1200017,340,1
0,1,1,120,1200018,340,1
0,1,1,120,1200019,510,1
0,1,13,120,1200019,370,1
0,1,1,120,1200022,510,1
0,1,0,120,1200027,340,1
0,1,10,120,1200027,340,1
0,1,14,120,1200032,680,1
0,1,10,160,1600002,510,1
0,1,0,170,1700002,290,1
0,1,0,170,1700011,1440,1
0,1,10,240,2400001,2850,1
0,1,0,240,2400004,1190,1
0,1,9,240,2400007,1020,1
0,1,14,240,2400007,1020,1
0,1,0,240,2400007,1020,1
0,1,7,240,2400011,3400,1
0,1,10,260,2600005,1000,1
0,1,15,280,2800001,1190,1
0,1,15,320,3200001,2830,1
0,1,14,340,3400001,1190,1
0,1,7,340,3400002,2020,1
0,1,7,340,3400003,830,1
0,1,0,340,3400003,830,1
1,0,10,100,1000001,420,2
1,0,9,100,1000001,420,1
1,0,15,100,1000001,420,1
1,0,6,100,1000001,420,1
1,0,16,100,1000001,420,1
1,0,2,100,1000001,420,1
1,0,5,100,1000001,340,1
1,0,8,100,1000002,250,1
1,0,6,100,1000002,250,1
1,0,7,100,1000004,250,1
1,0,11,100,1000004,250,1
1,0,6,100,1000004,250,1
1,0,9,100,1000004,250,1
1,0,15,100,1000005,250,1
1,0,2,100,1000005,250,1
1,0,8,100,1000008,250,1
1,0,2,100,1000008,250,1
1,0,7,110,1100001,590,1
1,0,14,110,1100001,590,1
1,0,10,120,1200001,510,1
1,0,0,120,1200002,510,1
1,0,16,120,1200002,510,1
1,0,10,120,1200002,510,1
1,0,2,120,1200003,510,1
1,0,10,120,1200004,510,1
1,0,8,120,1200004,510,1
1,0,6,120,1200006,340,1
1,0,10,120,1200008,250,1
1,0,10,120,1200012,510,1
1,0,2,120,1200013,510,1
1,0,13,120,1200014,510,1
1,0,10,120,1200016,250,1
1,0,1,120,1200023,510,1
1,0,10,120,1200023,510,1
1,0,16,120,1200025,510,1
1,0,16,120,1200029,340,2
1,0,2,120,1200030,510,1
1,0,0,120,1200032,680,1
1,0,15,120,1200033,290,1
1,0,13,130,1300001,4250,1
1,0,0,130,1300001,4250,1
1,0,5,130,1300001,4250,1
1,0,2,140,1400001,640,1
1,0,7,140,1400002,590,1
1,0,11,140,1400002,850,1
1,0,11,140,1400002,850,1
1,0,5,140,1400002,590,1
1,0,7,160,1600002,510,1
1,0,10,160,1600002,510,1
1,0,0,160,1600002,510,2
1,0,14,160,1600002,510,1
1,0,13,170,1700001,1690,1
1,0,4,170,1700002,290,1
1,0,7,170,1700003,1630,1
1,0,9,170,1700004,1700,1
1,0,13,170,1700005,1700,1
1,0,0,170,1700005,1700,1
1,0,5,170,1700007,1100,1
1,0,0,170,1700009,1440,1
1,0,10,170,1700010,1700,1
1,0,0,170,1700011,1440,1
1,0,4,170,1700015,940,1
1,0,1,170,1700015,940,1
1,0,0,170,1700016,1440,1
1,0,9,210,2100001,930,1
1,0,13,210,2100001,930,1
1,0,10,210,2100002,930,1
1,0,9,210,2100002,930,1
1,0,17,210,2100002,930,1
1,0,5,210,2100003,1020,1
1,0,0,210,2100003,1020,1
1,0,6,230,2300002,6440,1
1,0,7,240,2400002,2550,1
1,0,9,240,2400002,2550,1
1,0,1,240,2400003,1070,1
1,0,16,240,2400003,1070,1
1,0,13,240,2400003,1070,1
1,0,10,240,2400005,1870,1
1,0,7,240,2400006,1090,1
1,0,1,240,2400006,1090,2
1,0,10,240,2400006,1090,1
1,0,9,240,2400006,1090,1
1,0,13,240,2400007,1020,1
1,0,16,240,2400008,2210,1
1,0,7,240,2400009,1270,1
1,0,10,240,2400009,1270,1
1,0,9,240,2400009,1270,1
1,0,0,240,2400009,1270,1
1,0,0,250,2500001,510,2
1,0,2,260,2600002,3060,1
1,0,13,260,2600004,1690,1
1,0,0,260,2600005,1000,2
1,0,9,270,2700005,420,1
1,0,15,280,2800001,1190,1
1,0,7,280,2800001,1190,1
1,0,17,280,2800001,1190,-1
1,0,8,320,3200001,3380,1
1,0,5,320,3200001,3380,1
1,0,0,340,3400001,1190,1
1,0,7,340,3400002,2020,1
1,0,1,340,3400003,1190,1
1,0,9,340,3400003,830,1
1,0,4,340,3400003,1190,1
1,0,15,340,3400003,1190,1
1,0,0,340,3400003,1190,1
1,0,2,340,3400003,830,1
2,0,10,100,1000001,420,3
2,0,5,100,1000001,420,1
2,0,10,100,1000002,250,1
2,0,2,100,1000002,250,1
2,0,0,100,1000002,250,1
2,0,11,100,1000005,250,1
2,0,10,100,1000007,250,1
2,0,0,100,1000007,250,1
2,0,1,100,1000008,130,1
2,0,14,110,1100001,590,1
2,0,17,110,1100001,590,1
2,0,9,120,1200002,510,1
2,0,11,120,1200007,250,1
2,0,17,120,1200007,250,1
2,0,6,120,1200008,250,1
2,0,17,120,1200008,250,1
2,0,6,120,1200009,250,1
2,0,12,120,1200012,510,1
2,0,11,120,1200015,340,1
2,0,2,120,1200017,340,1
2,0,0,120,1200020,250,1
2,0,10,120,1200023,510,1
2,0,4,120,1200026,340,1
2,0,9,120,1200030,510,1
2,0,6,120,1200032,680,1
2,0,1,140,1400002,530,1
2,0,1,140,1400002,850,1
2,0,9,140,1400002,850,1
2,0,9,160,1600001,560,1
2,0,8,160,1600001,560,1
2,0,7,160,1600002,510,1
2,0,3,170,1700001,1700,1
2,0,12,170,1700001,1700,1
2,0,13,170,1700001,1700,1
2,0,2,170,1700001,1700,1
2,0,1,170,1700001,1700,1
2,0,1,170,1700002,290,1
2,0,14,170,1700002,290,1
2,0,14,170,1700002,290,1
2,0,16,170,1700003,2040,1
2,0,13,170,1700003,2040,1
2,0,0,170,1700003,2040,1
2,0,0,170,1700005,1700,1
2,0,11,170,1700006,170,1
2,0,0,170,1700007,1100,1
2,0,6,170,1700008,170,1
2,0,8,170,1700013,1360,1
2,0,4,170,1700016,1440,1
2,0,9,170,1700017,1280,1
2,0,13,210,2100001,930,1
2,0,14,230,2300001,3400,1
2,0,17,230,2300001,3400,1
2,0,1,240,2400002,2550,1
2,0,1,240,2400002,1690,2
2,0,10,240,2400003,1070,1
2,0,9,240,2400003,1070,1
2,0,14,240,2400003,1070,1
2,0,7,240,2400004,1190,1
2,0,6,240,2400004,1190,1
2,0,0,240,2400005,1870,1
2,0,0,240,2400006,1090,1
2,0,2,240,2400006,1090,1
2,0,11,240,2400007,1020,1
2,0,10,240,2400008,2210,1
2,0,14,240,2400008,2210,1
2,0,6,240,2400009,1270,1
2,0,0,240,2400009,840,1
2,0,1,240,2400009,840,1
2,0,14,240,2400009,1270,1
2,0,12,240,2400009,1270,1
2,0,11,240,2400011,3400,1
2,0,6,250,2500002,420,1
2,0,2,250,2500003,510,1
2,0,6,260,2600003,2550,1
2,0,16,260,2600004,1700,1
2,0,6,260,2600005,1000,1
2,0,7,260,2600005,1000,1
2,0,13,260,2600006,2550,1
2,0,0,270,2700005,420,1
2,0,10,270,2700007,590,1
2,0,16,280,2800001,1190,1
2,0,5,280,2800001,1190,-2
2,0,16,320,3200001,3380,1
2,0,6,340,3400002,2020,1
2,0,4,340,3400003,1190,1
2,0,14,340,3400003,830,1
